GEOID,STATEFP,COUNTYFP,TRACTCE,ACS17_Occupied_Housing_Units_Est,UPSAI_urban,UPSAI_suburban,UPSAI_rural,UPSAI_Cat_Controlled
01001020100,01,001,020100,754,0.0849,0.7614,0.1537,2
01001020200,01,001,020200,783,0.5107,0.4308,0.0585,1
01001020300,01,001,020300,1279,0.7039,0.2699,0.0262,1
01001020400,01,001,020400,1749,0.7698,0.1979,0.0323,1
01001020500,01,001,020500,4194,0.8656,0.1168,0.0176,1
01001020600,01,001,020600,1306,0.8567,0.1164,0.027,1
01001020700,01,001,020700,1314,0.2554,0.6373,0.1073,2
01001020801,01,001,020801,1035,0.0096,0.3072,0.6832,3
01001020802,01,001,020802,4094,0.001,0.2728,0.7263,3
01001020900,01,001,020900,2215,0,0,1,3
01001021000,01,001,021000,1028,1.00E-04,0,0.9999,3
01001021100,01,001,021100,1303,1.00E-04,0,0.9999,3
01003010100,01,003,010100,1379,0.0019,0.0167,0.9814,3
01003010200,01,003,010200,1120,0.0379,0.0131,0.949,3
01003010300,01,003,010300,2733,3.00E-04,0.1145,0.8852,3
01003010400,01,003,010400,1650,0.0196,0.018,0.9623,3
01003010500,01,003,010500,1674,0.2067,0.7037,0.0896,2
01003010600,01,003,010600,1149,0.4131,0.4594,0.1275,1
01003010701,01,003,010701,3100,0.0658,0.6797,0.2545,2
01003010703,01,003,010703,6108,0.0284,0.5374,0.4342,2
01003010704,01,003,010704,1864,0.2011,0.6987,0.1002,2
01003010705,01,003,010705,3803,0.2585,0.7071,0.0344,2
01003010800,01,003,010800,2671,0.1929,0.7262,0.0809,2
01003010903,01,003,010903,1754,0.0632,0.3025,0.6343,3
01003010904,01,003,010904,2217,0.0267,0.0773,0.896,3
01003010905,01,003,010905,3282,0.0502,0.2778,0.6721,3
01003010906,01,003,010906,1697,0.0877,0.4105,0.5018,3
01003011000,01,003,011000,1470,0.0189,0.0767,0.9044,3
01003011101,01,003,011101,3762,0.0389,0.8545,0.1067,2
01003011102,01,003,011102,1540,0.0222,0.4408,0.5369,3
01003011201,01,003,011201,1844,0.1991,0.7457,0.0552,2
01003011202,01,003,011202,2138,0.1854,0.697,0.1176,2
01003011300,01,003,011300,1816,0.0039,0.2647,0.7314,3
01003011401,01,003,011401,3887,0.0442,0.1354,0.8205,3
01003011403,01,003,011403,4722,0.257,0.544,0.199,2
01003011405,01,003,011405,1933,0.2,0.6576,0.1424,2
01003011406,01,003,011406,1516,0.2597,0.5025,0.2379,2
01003011407,01,003,011407,2588,0.2488,0.5937,0.1575,2
01003011408,01,003,011408,284,0.058,0.3687,0.5733,3
01003011501,01,003,011501,2682,0.3372,0.4641,0.1987,2
01003011502,01,003,011502,5094,0.3785,0.5426,0.0789,1
01003011601,01,003,011601,2330,0.0079,0.0709,0.9211,3
01003011602,01,003,011602,2326,0.0089,0.0552,0.9359,3
01005950100,01,005,950100,1161,0.0553,0.8771,0.0676,2
01005950200,01,005,950200,1106,0.1727,0.2941,0.5333,3
01005950300,01,005,950300,691,1.00E-04,0.0032,0.9967,3
01005950400,01,005,950400,1060,8.00E-04,0,0.9992,3
01005950500,01,005,950500,1297,4.00E-04,0.0107,0.989,3
01005950600,01,005,950600,756,0.1187,0.1212,0.7601,3
01005950700,01,005,950700,630,0.0149,0.968,0.017,2
01005950800,01,005,950800,938,0.0011,0.9989,0,2
01005950900,01,005,950900,1552,0.1906,0.8051,0.0043,2
01007010001,01,007,010001,915,0.001,0.0027,0.9963,3
01007010002,01,007,010002,1981,0.0113,0.0529,0.9359,3
01007010003,01,007,010003,1729,0.0038,1.00E-04,0.9961,3
01007010004,01,007,010004,2291,0.0451,0.079,0.8759,3
01009050101,01,009,050101,2771,0.0146,0.0725,0.9129,3
01009050102,01,009,050102,2680,0.0474,0.9198,0.0328,2
01009050200,01,009,050200,1319,0.0116,0.0441,0.9443,3
01009050300,01,009,050300,1874,0.005,2.00E-04,0.9948,3
01009050400,01,009,050400,1735,0.0065,0.0356,0.9579,3
01009050500,01,009,050500,2567,7.00E-04,0.0278,0.9715,3
01009050601,01,009,050601,1372,0.0494,0.0718,0.8788,3
01009050602,01,009,050602,3271,0.026,0.1353,0.8387,3
01009050700,01,009,050700,3101,0.0263,0.0748,0.899,3
01011952100,01,011,952100,619,0.0256,0.1703,0.8041,3
01011952200,01,011,952200,1929,0.2926,0.2662,0.4412,3
01011952500,01,011,952500,1122,0.0069,0.0593,0.9337,3
01013952700,01,013,952700,774,0.2462,0.539,0.2148,2
01013952800,01,013,952800,553,0.3839,0.4737,0.1424,1
01013952900,01,013,952900,731,0.3009,0.3649,0.3342,2
01013953000,01,013,953000,543,0.1307,0.034,0.8354,3
01013953100,01,013,953100,964,0.1683,0.3773,0.4544,3
01013953200,01,013,953200,1432,0.038,0.0498,0.9122,3
01013953300,01,013,953300,687,0.0017,0,0.9983,3
01013953400,01,013,953400,882,0.1811,0.2097,0.6092,3
01013953500,01,013,953500,484,0.0236,0.0173,0.9592,3
01015000200,01,015,000200,1316,0.1685,0.1617,0.6698,3
01015000300,01,015,000300,1191,0.148,0.8235,0.0285,2
01015000400,01,015,000400,1069,0.0376,0.815,0.1474,2
01015000500,01,015,000500,638,0.6611,0.3295,0.0094,1
01015000600,01,015,000600,705,0.953,0.0361,0.0109,1
01015000700,01,015,000700,1138,0.9269,0.0652,0.0079,1
01015000800,01,015,000800,433,0.9044,0.0801,0.0156,1
01015000900,01,015,000900,1676,0.7213,0.1959,0.0828,1
01015001000,01,015,001000,2529,0.0081,0.9842,0.0077,2
01015001100,01,015,001100,2816,0.1794,0.6529,0.1676,2
01015001201,01,015,001201,1220,0.194,0.8009,0.0052,2
01015001202,01,015,001202,1593,0.0223,0.9703,0.0074,2
01015001300,01,015,001300,753,0.0024,0.7003,0.2972,2
01015001400,01,015,001400,1222,0.1458,0.4833,0.3709,2
01015001500,01,015,001500,1794,0.0368,0.0854,0.8778,3
01015001600,01,015,001600,1429,0.4071,0.4274,0.1655,1
01015001700,01,015,001700,2604,0.0508,0.2363,0.7129,3
01015001800,01,015,001800,2435,0.0149,0.0092,0.9759,3
01015002000,01,015,002000,2674,5.00E-04,0.5732,0.4263,2
01015002101,01,015,002101,1061,0.0074,0.9756,0.017,2
01015002102,01,015,002102,1278,0.1789,0.6905,0.1305,2
01015002103,01,015,002103,2619,0.8312,0.1264,0.0424,1
01015002200,01,015,002200,1374,0.7857,0.0839,0.1305,1
01015002300,01,015,002300,1553,0.0134,0.9625,0.0241,2
01015002400,01,015,002400,1773,2.00E-04,0.0062,0.9936,3
01015002501,01,015,002501,2737,0.0082,0.0634,0.9284,3
01015002502,01,015,002502,1722,0,0.0205,0.9795,3
01015002600,01,015,002600,1743,0,0.0097,0.9903,3
01015981901,01,015,981901,4,0.2792,0.3493,0.3714,2
01015981902,01,015,981902,0,0.1624,0.3389,0.4987,3
01015981903,01,015,981903,0,0.1589,0.3635,0.4777,3
01017953800,01,017,953800,1420,0.014,0.0347,0.9513,3
01017953900,01,017,953900,1219,0.2737,0.3426,0.3837,2
01017954000,01,017,954000,2691,0,0.0069,0.9931,3
01017954200,01,017,954200,1365,0.037,0.5852,0.3778,2
01017954300,01,017,954300,2220,0.1487,0.5457,0.3056,2
01017954400,01,017,954400,459,0.2728,0.3666,0.3606,2
01017954500,01,017,954500,1512,0.3507,0.4393,0.21,2
01017954600,01,017,954600,1148,0.4673,0.3509,0.1818,1
01017954700,01,017,954700,1660,0.2273,0.4384,0.3343,2
01019955701,01,019,955701,1464,0.1178,0.2487,0.6336,3
01019955702,01,019,955702,1585,7.00E-04,0,0.9993,3
01019955800,01,019,955800,2165,0.0439,0.1359,0.8202,3
01019955900,01,019,955900,1708,0.0311,0.0125,0.9564,3
01019956000,01,019,956000,1902,0.2145,0.2979,0.4876,3
01019956100,01,019,956100,1971,0.0845,0.0116,0.9039,3
01021060101,01,021,060101,1805,0.2653,0.4837,0.251,2
01021060102,01,021,060102,2672,0.2598,0.4908,0.2495,2
01021060200,01,021,060200,1093,0.0202,0.1475,0.8322,3
01021060300,01,021,060300,1436,2.00E-04,0.0017,0.9981,3
01021060401,01,021,060401,2035,0.0148,0.0443,0.9409,3
01021060402,01,021,060402,3272,0.002,0.0399,0.9581,3
01021060500,01,021,060500,1169,0.0476,0.1143,0.8381,3
01021060600,01,021,060600,1239,0,0,1,3
01021060700,01,021,060700,2047,3.00E-04,0.0147,0.985,3
01023956700,01,023,956700,1280,0.0793,0.1591,0.7615,3
01023956800,01,023,956800,1872,0.0144,0.0188,0.9668,3
01023956900,01,023,956900,1388,0.0084,9.00E-04,0.9907,3
01023957000,01,023,957000,923,0.0047,0.0146,0.9808,3
01025957500,01,025,957500,578,0.0015,0.0383,0.9602,3
01025957601,01,025,957601,359,0.006,0.0066,0.9874,3
01025957602,01,025,957602,2114,0.2221,0.5768,0.201,2
01025957700,01,025,957700,533,0.0019,0.0148,0.9833,3
01025957800,01,025,957800,2061,0.0201,0.0303,0.9496,3
01025957901,01,025,957901,1472,0.0388,0.044,0.9172,3
01025957902,01,025,957902,1458,0.3252,0.3894,0.2854,2
01025958001,01,025,958001,486,0.0036,0,0.9964,3
01025958002,01,025,958002,541,0,0.0348,0.9652,3
01027958900,01,027,958900,2028,1.00E-04,0.0034,0.9966,3
01027959000,01,027,959000,1386,0.1579,0.3966,0.4455,3
01027959100,01,027,959100,1073,0.0214,0.0346,0.944,3
01027959200,01,027,959200,851,0.0098,9.00E-04,0.9893,3
01029959500,01,029,959500,1074,0.0031,5.00E-04,0.9964,3
01029959600,01,029,959600,1592,0.2534,0.3561,0.3905,2
01029959700,01,029,959700,1352,0.0327,1.00E-04,0.9672,3
01029959800,01,029,959800,1755,0.0057,0.0256,0.9687,3
01031010100,01,031,010100,809,1.00E-04,0.0133,0.9866,3
01031010200,01,031,010200,714,0.0167,0.0627,0.9206,3
01031010300,01,031,010300,1839,0.002,0.034,0.964,3
01031010400,01,031,010400,773,0.0179,0.0068,0.9753,3
01031010500,01,031,010500,1589,0.277,0.3794,0.3436,2
01031010600,01,031,010600,589,0.0075,0.0149,0.9775,3
01031010700,01,031,010700,869,0.0027,0.0014,0.9959,3
01031010800,01,031,010800,1143,0.001,0.0278,0.9713,3
01031010900,01,031,010900,847,0.3408,0.5641,0.0951,2
01031011000,01,031,011000,1277,0.2391,0.5002,0.2607,2
01031011100,01,031,011100,807,0.3159,0.6465,0.0376,2
