"","Metro","Population","ZRI"
"1","Washington-Arlington-Alexandria, DC-VA-MD-WV",6196585,2.050847409
"2","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",19294236,2.008264635
"3","Providence-New Bedford-Fall River, RI-MA",1618268,1.810652944
"4","Seattle-Tacoma-Bellevue, WA",3871323,1.597326473
"5","Tampa-St. Petersburg-Clearwater, FL",3097859,1.442095883
"6","Milwaukee-Waukesha-West Allis, WI",1575223,1.272480008
"7","Miami-Fort Lauderdale-Pompano Beach, FL",6090660,1.195888336
"8","Detroit-Warren-Livonia, MI",4317848,1.140551569
"9","Boston-Cambridge-Quincy, MA-NH",4832346,1.13771527
"10","Springfield, MA",699480,1.009635336
"11","Portland-South Portland-Biddeford, ME",532075,0.97694896
"12","San Francisco-Oakland-Fremont, CA",4701332,0.911352004
"13","Portland-Vancouver-Hillsboro, OR-WA",2445761,0.824045168
"14","St. Louis, MO-IL",2805190,0.804308213
"15","Los Angeles-Long Beach-Santa Ana, CA",13249614,0.785364144
"16","Ogden-Clearfield, UT",662875,0.780358165
"17","Minneapolis-St. Paul-Bloomington, MN-WI",3573609,0.765228668
"18","Lancaster, PA",540999,0.758296695
"19","Cleveland-Elyria-Mentor, OH",2056898,0.72492062
"20","Bridgeport-Stamford-Norwalk, CT",943926,0.698274791
