tract,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_p25
48491020203,"Sun City, Georgetown, TX",1
48201430400,"Memorial, Houston, TX",0.6607
12021010215,"Pelican Bay, Naples, FL",0.6522
6085509901,"Blossom Valley, Mountain View, CA",0.5809
17031071000,"Lincoln Park, Chicago, IL",0.5794
49043964305,"Park City, UT",0.5783
34003047300,"Ridgewood, NJ",0.5733
36061006000,"Midtown, New York, NY",0.5701
34021004304,"West Windsor Township, NJ",0.5675
22071012102,"Uptown/Carrollton, New Orleans, LA",0.5658
18157005400,"West Lafayette, IN",0.5634
42101008801,"West Philadelphia, Philadelphia, PA",0.5633
36085013201,"Richmond County, NY",0.5629
45019002105,"Johns Island, SC",0.5497
6001408000,"Woodminster, Oakland, CA",0.5467
38089964000,"Belfield, ND",0.5442
34023008206,"Rossmoor, Monroe Township, NJ",0.5429
9001045300,"Wilton, CT",0.5403
34035052901,"Far Hills, NJ",0.5394
24031705300,"Chevy Chase, MD",0.5376
37135011602,"Chapel Hill, NC",0.5368
24005403803,"Pikesville, MD",0.5334
36059302101,"Roslyn, NY",0.5316
51059480203,"Tysons, VA",0.5296
25025010104,"Boston, MA",0.5272
38053962300,"Watford City, ND",0.5269
36059406400,"Garden City, NY",0.5258
34031246002,"Wayne, NJ",0.5246
25013813303,"Longmeadow, MA",0.5212
34035053707,"Somerset County, NJ",0.5204
36103158322,"Mount Sinai, NY",0.5201
34027044200,"Morristown, NJ",0.5192
4013216843,"North Scottsdale, Scottsdale, AZ",0.5174
48113013400,"North Dallas, Dallas, TX",0.5142
26161415600,"Ann Arbor, MI",0.5131
6085503332,"Evergreen, San Jose, CA",0.5127
36059412500,"Rockville Centre, NY",0.5112
17097864904,"Deerfield, IL",0.5081
49049010212,"Lehi, UT",0.508
17043844502,"Oak Brook, IL",0.508
42091204800,"Gladwyne, PA",0.5073
6059062631,"Turtle Rock, Irvine, CA",0.5059
42003141000,"Regent Square, Pittsburgh, PA",0.5051
36119012304,"Armonk, NY",0.5037
51059481201,"Reston, VA",0.5027
36059415102,"Merrick, NY",0.5019
9001060900,"Fairfield, CT",0.5005
17031070103,"Lincoln Park, Chicago, IL",0.5
36059303301,"Williston Park, NY",0.4998
4021001708,"Maricopa, AZ",0.4989
48113019301,"Park Cities, Dallas, TX",0.4955
36059406501,"Garden City, NY",0.4942
4013040519,"Trilogy At Vistancia, Peoria, AZ",0.4932
36081064101,"Queens County, NY",0.4929
36081150702,"Queens County, NY",0.4902
36059406300,"Garden City, NY",0.49
36081099701,"Queens County, NY",0.49
12011042400,"East Fort Lauderdale, Fort Lauderdale, FL",0.4892
6075033100,"Lakeshore, San Francisco, CA",0.4868
12099007011,"Boca Raton, FL",0.4863
29189217841,"Chesterfield, MO",0.486
25017357100,"Belmont, MA",0.4854
6001441523,"Ardenwood, Fremont, CA",0.4842
34027042500,"Florham Park, NJ",0.483
9001060100,"Fairfield, CT",0.4828
53033024602,"Mercer Island, WA",0.4811
19013002303,"Cedar Falls, IA",0.4774
34025804100,"Monmouth Beach, NJ",0.4771
17097865502,"Highland Park, IL",0.4771
24031701002,"Rockville, MD",0.477
36059405800,"Garden City, NY",0.4769
26125191300,"Rochester, MI",0.4769
6085507701,"Cupertino, CA",0.4765
6001450750,"Dublin, CA",0.4765
25025000503,"Brighton, Boston, MA",0.4763
13067031212,"Atlanta, GA",0.4752
25021403300,"Needham, MA",0.4743
12086007503,"Riviera, Coral Gables, FL",0.4734
27053023902,"Minneapolis, MN",0.4731
36081138501,"Queens County, NY",0.4731
8037000502,"Avon, CO",0.4715
36059415202,"Merrick, NY",0.4711
6037980010,"Echo Park, Los Angeles, CA",0.4701
48157673901,"New Territory, Sugar Land, TX",0.4692
36059412600,"Rockville Centre, NY",0.4691
6085511910,"South San Jose, San Jose, CA",0.4687
36047000301,"Kings County, NY",0.4683
6067008702,"Gold River, CA",0.4682
36059415500,"North Wantagh, Seaford, NY",0.4676
48113019501,"Park Cities, Dallas, TX",0.4672
34025810102,"Manalapan Township, NJ",0.4668
36047057600,"Kings County, NY",0.4665
38089963900,"Dickinson, ND",0.4665
25017357200,"Belmont, MA",0.4659
6037108202,"Northridge, Los Angeles, CA",0.4652
36119008500,"Rye, NY",0.4644
10005051203,"Bethany Beach, DE",0.4644
40143007638,"Tulsa, OK",0.4639
34039037900,"Summit, NJ",0.4634
6013355116,"San Ramon, CA",0.4633
34025808702,"Manasquan, NJ",0.4631
34039037000,"Cranford, NJ",0.4627
51059470100,"McLean, VA",0.4623
36047070201,"Kings County, NY",0.4623
24031700611,"Boyds, MD",0.462
8037000701,"Vail, CO",0.4617
12086007801,"Miami, FL",0.4616
36103134904,"Smithtown, NY",0.4613
48491020106,"Berry Creek, Georgetown, TX",0.4605
17097863904,"Vernon Hills, IL",0.4599
36059302300,"Albertson, NY",0.4597
6037262301,"Los Angeles, CA",0.4593
9001035400,"New Canaan, CT",0.459
38015011104,"Bismarck, ND",0.4587
36103112212,"Dix Hills, NY",0.4582
26125188000,"Huntington Woods, MI",0.4574
36059404600,"Floral Park, NY",0.4566
18127050405,"Portage, IN",0.4559
8117000402,"Breckenridge, CO",0.4559
48029191412,"Inwood, San Antonio, TX",0.4556
17043845200,"Hinsdale, IL",0.4552
6001443103,"Fremont, CA",0.4547
38087965000,"Bowman, ND",0.4542
36059517500,"Glen Head, NY",0.4538
13089021213,"Dunwoody, GA",0.4533
36087013002,"Blauvelt, NY",0.4526
24027605505,"River Hill, Clarksville, MD",0.4525
25021419600,"Braintree, MA",0.4523
48157674200,"Sweetwater, Sugar Land, TX",0.4512
36081066300,"Queens County, NY",0.451
36059518600,"Jericho, NY",0.4501
6075012601,"Marina District, San Francisco, CA",0.4492
36061005200,"Midtown, New York, NY",0.4491
6037620901,"Manhattan Beach, CA",0.4488
36005044901,"Bronx County, NY",0.4484
36059412700,"Rockville Centre, NY",0.4482
36059518800,"Syosset, NY",0.4473
6037265420,"Westwood, Los Angeles, CA",0.4468
12099005945,"Boynton Beach, FL",0.446
34025801500,"Lincroft, Middletown, NJ",0.446
36059519703,"Plainview, NY",0.4457
